,userIndex,gameID,hours
558,47.0,120.0,4.4
559,47.0,416.0,4.3
560,47.0,318.0,4.2
561,47.0,417.0,4.2
562,47.0,418.0,4.2
563,47.0,328.0,4.1
564,47.0,309.0,4.0
565,47.0,332.0,4.0
566,47.0,287.0,3.9
567,47.0,419.0,3.8
568,47.0,420.0,3.6
569,47.0,421.0,3.4
570,47.0,422.0,3.4
571,47.0,423.0,3.4
572,47.0,424.0,3.3
573,47.0,425.0,3.2
574,47.0,426.0,3.2
575,47.0,331.0,3.2
576,47.0,89.0,3.1
577,47.0,427.0,2.9
578,47.0,106.0,2.9
579,47.0,428.0,2.8
580,47.0,241.0,2.7
581,47.0,429.0,2.7
582,47.0,430.0,2.6
583,47.0,315.0,2.6
584,47.0,431.0,2.5
585,47.0,432.0,2.5
586,47.0,433.0,2.4
587,47.0,434.0,2.4
588,47.0,235.0,2.3
589,47.0,435.0,2.3
590,47.0,436.0,2.3
591,47.0,437.0,2.3
592,47.0,21.0,2.2
593,47.0,438.0,2.1
594,47.0,209.0,2.0
595,47.0,303.0,2.0
596,47.0,295.0,1.9
597,47.0,439.0,1.9
598,47.0,440.0,1.8
599,47.0,441.0,1.8
600,47.0,442.0,1.5
601,47.0,443.0,1.5
602,47.0,444.0,1.5
603,47.0,445.0,1.5
604,47.0,446.0,1.5
605,47.0,447.0,1.4
606,47.0,448.0,1.4
607,47.0,264.0,1.4
608,47.0,199.0,1.4
609,47.0,449.0,1.3
610,47.0,24.0,1.3
611,47.0,450.0,1.1
612,47.0,451.0,1.0
613,47.0,452.0,1.0
614,47.0,121.0,0.9
615,47.0,173.0,0.9
616,47.0,453.0,0.9
617,47.0,454.0,0.8
618,47.0,240.0,0.8
619,47.0,455.0,0.8
620,47.0,456.0,0.7
621,47.0,164.0,0.7
622,47.0,320.0,0.7
623,47.0,457.0,0.7
624,47.0,458.0,0.7
625,47.0,459.0,0.6
626,47.0,460.0,0.6
627,47.0,461.0,0.6
628,47.0,462.0,0.6
629,47.0,463.0,0.6
630,47.0,464.0,0.6
631,47.0,465.0,0.4
632,47.0,466.0,0.4
633,47.0,234.0,0.4
634,47.0,221.0,0.4
635,47.0,467.0,0.4
636,47.0,468.0,0.3
637,47.0,469.0,0.3
638,47.0,3.0,0.3
639,47.0,470.0,0.3
640,47.0,40.0,0.3
641,47.0,471.0,0.3
642,47.0,301.0,0.2
643,47.0,472.0,0.1
644,48.0,21.0,278.0
645,49.0,21.0,240.0
646,50.0,21.0,6.9
647,50.0,240.0,1.2
648,51.0,39.0,1028.0
649,51.0,273.0,1008.0
650,51.0,8.0,148.0
651,51.0,473.0,108.0
652,51.0,9.0,72.0
653,51.0,474.0,36.0
654,51.0,0.0,35.0
655,51.0,234.0,32.0
656,51.0,154.0,21.0
657,51.0,475.0,16.0
658,51.0,4.0,15.8
659,51.0,476.0,15.8
660,51.0,477.0,8.6
661,51.0,478.0,7.8
662,51.0,62.0,7.3
663,51.0,21.0,3.1
664,51.0,241.0,1.9
665,51.0,341.0,1.7
666,51.0,479.0,1.1
667,51.0,480.0,0.6
668,51.0,481.0,0.4
669,52.0,21.0,86.0
670,53.0,277.0,33.0
671,53.0,9.0,3.3
672,53.0,21.0,0.3
673,54.0,21.0,142.0
674,54.0,482.0,6.4
675,54.0,483.0,5.9
676,54.0,484.0,4.9
677,54.0,485.0,4.2
678,54.0,486.0,1.9
679,54.0,487.0,1.9
680,54.0,266.0,1.1
681,54.0,488.0,0.9
682,54.0,489.0,0.7
683,54.0,283.0,0.4
684,54.0,490.0,0.2
685,55.0,21.0,1.1
686,56.0,21.0,2.3
687,57.0,134.0,3.0
688,58.0,273.0,0.8
689,59.0,24.0,105.0
690,59.0,9.0,30.0
691,59.0,491.0,25.0
692,59.0,240.0,14.9
693,59.0,147.0,10.9
694,59.0,39.0,7.4
695,59.0,250.0,7.4
696,59.0,23.0,5.6
697,59.0,51.0,3.4
698,59.0,284.0,2.0
699,59.0,21.0,0.4
700,60.0,21.0,891.0
701,60.0,39.0,853.0
702,60.0,284.0,3.3
