,user
1030,245064847
1031,70751853
1032,202585832
1033,178168238
1034,7440594
1035,131032344
1036,237388314
1037,82792464
1038,138242360
1039,259934396
1040,94356420
1041,214276866
1042,228908339
1043,206597662
1044,77378306
1045,52942891
1046,170176187
1047,199134746
1048,83219649
1049,92393218
1050,85759872
1051,98625085
1052,59537590
1053,226734923
1054,72958745
1055,103805799
1056,114364553
1057,163988065
1058,171918937
1059,202043465
1060,112110682
1061,281376430
1062,174204642
1063,154123088
1064,298478157
1065,29915651
1066,103171339
1067,296426951
1068,303090541
1069,293002110
1070,14098833
1071,197765864
1072,165523661
1073,56198811
1074,237298602
1075,75011941
1076,115192877
1077,272181160
1078,186450119
1079,233648242
1080,205014771
1081,182412202
1082,95044091
1083,70052469
1084,156156544
1085,182621430
1086,72488020
1087,253622624
1088,227861587
1089,74161590
1090,102838001
1091,141246626
1092,81054122
1093,232664241
1094,166242802
1095,202140315
1096,160469883
1097,153774422
1098,161405419
1099,66713604
1100,257491997
1101,86779448
1102,205343727
1103,204703234
1104,174896111
1105,282408930
1106,106147454
1107,126876615
1108,166858869
1109,279603258
1110,146326949
1111,94086389
1112,290895974
1113,295021107
1114,143137329
1115,154617624
1116,114132445
1117,259829971
1118,257702137
1119,217709850
1120,57974873
1121,242471645
1122,115813584
1123,188226310
1124,100478352
1125,132875638
1126,76916895
1127,301805182
1128,158469748
1129,174103314
1130,278609462
1131,129272742
1132,26430231
1133,233277671
1134,103012052
1135,147029458
1136,205823360
1137,34102593
1138,284064476
1139,254331853
1140,252694471
1141,284863484
1142,224197206
1143,28040133
1144,293881991
1145,36439985
1146,152861732
1147,28064589
1148,267053376
1149,113058136
1150,71603645
1151,233865573
1152,221257958
1153,270169680
1154,176736380
1155,98463542
1156,206155181
1157,302916505
1158,95273667
1159,292936227
1160,253209919
1161,180048039
1162,18319108
1163,62601134
1164,128240584
1165,204541576
1166,84455820
1167,204813749
1168,258834833
1169,286637360
1170,189858084
1171,199535718
1172,216396749
1173,109475164
1174,150396347
1175,263516648
1176,200933876
1177,176682744
1178,32749624
